service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1001_20180301_20180402_Ke,0,0,1,0,0,0,0,20180301,20180402
1001_20180301_20180402_La,0,0,0,0,0,1,0,20180301,20180402
1001_20180301_20180402_Ma,1,0,0,0,0,0,0,20180301,20180402
1001_20180301_20180402_Pe,0,0,0,0,1,0,0,20180301,20180402
1001_20180301_20180402_Su,0,0,0,0,0,0,1,20180301,20180402
1001_20180301_20180402_Ti,0,1,0,0,0,0,0,20180301,20180402
1001_20180301_20180402_To,0,0,0,1,0,0,0,20180301,20180402
1001_20180403_20180530_Ke,0,0,1,0,0,0,0,20180403,20180530
1001_20180403_20180530_La,0,0,0,0,0,1,0,20180403,20180530
1001_20180403_20180530_Ma,1,0,0,0,0,0,0,20180403,20180530
1001_20180403_20180530_Pe,0,0,0,0,1,0,0,20180403,20180530
1001_20180403_20180530_Su,0,0,0,0,0,0,1,20180403,20180530
1001_20180403_20180530_Ti,0,1,0,0,0,0,0,20180403,20180530
1001_20180403_20180530_To,0,0,0,1,0,0,0,20180403,20180530
1001 3_20180301_20180402_Ke,0,0,1,0,0,0,0,20180301,20180402
1001 3_20180301_20180402_La,0,0,0,0,0,1,0,20180301,20180402
1001 3_20180301_20180402_Ma,1,0,0,0,0,0,0,20180301,20180402
1001 3_20180301_20180402_Pe,0,0,0,0,1,0,0,20180301,20180402
1001 3_20180301_20180402_Su,0,0,0,0,0,0,1,20180301,20180402
1001 3_20180301_20180402_Ti,0,1,0,0,0,0,0,20180301,20180402
1001 3_20180301_20180402_To,0,0,0,1,0,0,0,20180301,20180402
1001 3_20180403_20180530_Ke,0,0,1,0,0,0,0,20180403,20180530
1001 3_20180403_20180530_La,0,0,0,0,0,1,0,20180403,20180530
1001 3_20180403_20180530_Ma,1,0,0,0,0,0,0,20180403,20180530
1001 3_20180403_20180530_Pe,0,0,0,0,1,0,0,20180403,20180530
1001 3_20180403_20180530_Su,0,0,0,0,0,0,1,20180403,20180530
1001 3_20180403_20180530_Ti,0,1,0,0,0,0,0,20180403,20180530
1001 3_20180403_20180530_To,0,0,0,1,0,0,0,20180403,20180530
1001 4_20180301_20180402_Ke,0,0,1,0,0,0,0,20180301,20180402
1001 4_20180301_20180402_Ma,1,0,0,0,0,0,0,20180301,20180402
1001 4_20180301_20180402_Pe,0,0,0,0,1,0,0,20180301,20180402
1001 4_20180301_20180402_Ti,0,1,0,0,0,0,0,20180301,20180402
1001 4_20180301_20180402_To,0,0,0,1,0,0,0,20180301,20180402
1001 4_20180403_20180530_Ke,0,0,1,0,0,0,0,20180403,20180530
1001 4_20180403_20180530_Ma,1,0,0,0,0,0,0,20180403,20180530
1001 4_20180403_20180530_Pe,0,0,0,0,1,0,0,20180403,20180530
1001 4_20180403_20180530_Ti,0,1,0,0,0,0,0,20180403,20180530
1001 4_20180403_20180530_To,0,0,0,1,0,0,0,20180403,20180530
1001H3_20180301_20180402_Ke,0,0,1,0,0,0,0,20180301,20180402
1001H3_20180301_20180402_La,0,0,0,0,0,1,0,20180301,20180402
1001H3_20180301_20180402_Ma,1,0,0,0,0,0,0,20180301,20180402
1001H3_20180301_20180402_Pe,0,0,0,0,1,0,0,20180301,20180402
1001H3_20180301_20180402_Su,0,0,0,0,0,0,1,20180301,20180402
1001H3_20180301_20180402_Ti,0,1,0,0,0,0,0,20180301,20180402
1001H3_20180301_20180402_To,0,0,0,1,0,0,0,20180301,20180402
1001H3_20180403_20180530_Ke,0,0,1,0,0,0,0,20180403,20180530
1001H3_20180403_20180530_La,0,0,0,0,0,1,0,20180403,20180530
1001H3_20180403_20180530_Ma,1,0,0,0,0,0,0,20180403,20180530
1001H3_20180403_20180530_Pe,0,0,0,0,1,0,0,20180403,20180530
1001H3_20180403_20180530_Su,0,0,0,0,0,0,1,20180403,20180530
1001H3_20180403_20180530_Ti,0,1,0,0,0,0,0,20180403,20180530
1001H3_20180403_20180530_To,0,0,0,1,0,0,0,20180403,20180530
1001H4_20180301_20180402_La,0,0,0,0,0,1,0,20180301,20180402
1001H4_20180403_20180530_La,0,0,0,0,0,1,0,20180403,20180530
1002_20180301_20180402_Ke,0,0,1,0,0,0,0,20180301,20180402
1002_20180301_20180402_La,0,0,0,0,0,1,0,20180301,20180402
1002_20180301_20180402_Ma,1,0,0,0,0,0,0,20180301,20180402
1002_20180301_20180402_Pe,0,0,0,0,1,0,0,20180301,20180402
1002_20180301_20180402_Su,0,0,0,0,0,0,1,20180301,20180402
1002_20180301_20180402_Ti,0,1,0,0,0,0,0,20180301,20180402
1002_20180301_20180402_To,0,0,0,1,0,0,0,20180301,20180402
1002_20180403_20180530_Ke,0,0,1,0,0,0,0,20180403,20180530
1002_20180403_20180530_La,0,0,0,0,0,1,0,20180403,20180530
1002_20180403_20180530_Ma,1,0,0,0,0,0,0,20180403,20180530
1002_20180403_20180530_Pe,0,0,0,0,1,0,0,20180403,20180530
1002_20180403_20180530_Su,0,0,0,0,0,0,1,20180403,20180530
