service_id,date,exception_type
1001_20180301_20180402_Pe,20180330,2
1001_20180301_20180402_Ma,20180402,2
1001_20180301_20180402_Su,20180330,1
1001_20180301_20180402_Su,20180402,1
1001_20180403_20180530_Ti,20180501,2
1001_20180403_20180530_To,20180510,2
1001_20180403_20180530_Su,20180501,1
1001_20180403_20180530_Su,20180510,1
1001 3_20180301_20180402_Pe,20180330,2
1001 3_20180301_20180402_Ma,20180402,2
1001 3_20180301_20180402_Su,20180330,1
1001 3_20180301_20180402_Su,20180402,1
1001 3_20180403_20180530_Ti,20180501,2
1001 3_20180403_20180530_To,20180510,2
1001 3_20180403_20180530_Su,20180501,1
1001 3_20180403_20180530_Su,20180510,1
1001 4_20180301_20180402_Pe,20180330,2
1001 4_20180301_20180402_Ma,20180402,2
1001 4_20180403_20180530_Ti,20180501,2
1001 4_20180403_20180530_To,20180510,2
1001H3_20180301_20180402_Pe,20180330,2
1001H3_20180301_20180402_Ma,20180402,2
1001H3_20180301_20180402_Su,20180330,1
1001H3_20180301_20180402_Su,20180402,1
1001H3_20180403_20180530_Ti,20180501,2
1001H3_20180403_20180530_To,20180510,2
1001H3_20180403_20180530_Su,20180501,1
1001H3_20180403_20180530_Su,20180510,1
1002_20180301_20180402_Pe,20180330,2
1002_20180301_20180402_Ma,20180402,2
1002_20180301_20180402_Su,20180330,1
1002_20180301_20180402_Su,20180402,1
1002_20180403_20180530_Ti,20180501,2
1002_20180403_20180530_To,20180510,2
1002_20180403_20180530_Su,20180501,1
1002_20180403_20180530_Su,20180510,1
1002 3_20180301_20180402_Pe,20180330,2
1002 3_20180301_20180402_Ma,20180402,2
1002 3_20180301_20180402_Su,20180330,1
1002 3_20180301_20180402_Su,20180402,1
1002 3_20180403_20180530_Ti,20180501,2
1002 3_20180403_20180530_To,20180510,2
1002 3_20180403_20180530_Su,20180501,1
1002 3_20180403_20180530_Su,20180510,1
1002 4_20180301_20180402_Pe,20180330,2
1002 4_20180301_20180402_Ma,20180402,2
1002 4_20180403_20180530_Ti,20180501,2
1002 4_20180403_20180530_To,20180510,2
1002 5_20180301_20180402_Su,20180330,1
1002 5_20180301_20180402_Su,20180402,1
1002 5_20180403_20180530_Ti,20180501,2
1002 5_20180403_20180530_To,20180510,2
1002 5_20180403_20180530_Su,20180501,1
1002 5_20180403_20180530_Su,20180510,1
1002H3_20180301_20180402_Pe,20180330,2
1002H3_20180301_20180402_Ma,20180402,2
1002H3_20180301_20180402_Su,20180330,1
1002H3_20180301_20180402_Su,20180402,1
1002H3_20180403_20180530_Ti,20180501,2
1002H3_20180403_20180530_To,20180510,2
1002H3_20180403_20180530_Su,20180501,1
1002H3_20180403_20180530_Su,20180510,1
1002H6_20180301_20180402_Su,20180330,1
1002H6_20180301_20180402_Su,20180402,1
1002H6_20180403_20180530_Su,20180501,1
1002H6_20180403_20180530_Su,20180510,1
1002H7_20180403_20180530_Ti,20180501,2
1002H7_20180403_20180530_To,20180510,2
1003_20180301_20180402_Pe,20180330,2
1003_20180301_20180402_Ma,20180402,2
1003_20180301_20180402_Su,20180330,1
1003_20180301_20180402_Su,20180402,1
1003_20180403_20180530_Ti,20180501,2
1003_20180403_20180530_To,20180510,2
1003_20180403_20180530_Su,20180501,1
1003_20180403_20180530_Su,20180510,1
1003 3_20180301_20180402_Pe,20180330,2
1003 3_20180301_20180402_Ma,20180402,2
1003 3_20180301_20180402_Su,20180330,1
1003 3_20180301_20180402_Su,20180402,1
1003 3_20180403_20180530_Ti,20180501,2
1003 3_20180403_20180530_To,20180510,2
1003 3_20180403_20180530_Su,20180501,1
1003 3_20180403_20180530_Su,20180510,1
1003 4_20180301_20180402_Pe,20180330,2
1003 4_20180301_20180402_Ma,20180402,2
1003 4_20180301_20180402_Su,20180330,1
1003 4_20180301_20180402_Su,20180402,1
1003 4_20180403_20180530_Ti,20180501,2
1003 4_20180403_20180530_To,20180510,2
1003 4_20180403_20180530_Su,20180501,1
1003 4_20180403_20180530_Su,20180510,1
1003 5_20180403_20180530_Ti,20180501,2
1003 5_20180403_20180530_To,20180510,2
1003H3_20180301_20180402_Pe,20180330,2
1003H3_20180301_20180402_Ma,20180402,2
1003H3_20180301_20180402_Su,20180330,1
1003H3_20180301_20180402_Su,20180402,1
1003H3_20180403_20180530_Ti,20180501,2
1003H3_20180403_20180530_To,20180510,2
1003H3_20180403_20180530_Su,20180501,1
1003H3_20180403_20180530_Su,20180510,1
1003H4_20180301_20180402_Pe,20180330,2
1003H4_20180301_20180402_Ma,20180402,2
1003H4_20180301_20180402_Su,20180330,1
1003H4_20180301_20180402_Su,20180402,1
1003H4_20180403_20180530_Ti,20180501,2
1003H4_20180403_20180530_To,20180510,2
1003H4_20180403_20180530_Su,20180501,1
1003H4_20180403_20180530_Su,20180510,1
1004_20180301_20180402_Pe,20180330,2
1004_20180301_20180402_Ma,20180402,2
1004_20180301_20180402_Su,20180330,1
1004_20180301_20180402_Su,20180402,1
1004_20180403_20180513_Ti,20180501,2
1004_20180403_20180513_To,20180510,2
1004_20180403_20180513_Su,20180501,1
1004_20180403_20180513_Su,20180510,1
1004 3_20180301_20180402_Pe,20180330,2
1004 3_20180301_20180402_Ma,20180402,2
1004 3_20180301_20180402_Su,20180330,1
1004 3_20180301_20180402_Su,20180402,1
1004 3_20180403_20180513_Ti,20180501,2
1004 3_20180403_20180513_To,20180510,2
1004 3_20180403_20180513_Su,20180501,1
1004 3_20180403_20180513_Su,20180510,1
1004 4_20180301_20180402_Pe,20180330,2
1004 4_20180301_20180402_Ma,20180402,2
1004 4_20180301_20180402_Su,20180330,1
1004 4_20180301_20180402_Su,20180402,1
1004 4_20180403_20180513_Ti,20180501,2
1004 4_20180403_20180513_To,20180510,2
1004 4_20180403_20180513_Su,20180501,1
1004 4_20180403_20180513_Su,20180510,1
1004 5_20180403_20180513_Ti,20180501,2
1004 5_20180403_20180513_To,20180510,2
1004 6_20180403_20180513_Ti,20180501,2
1004 6_20180403_20180513_To,20180510,2
1004 8_20180403_20180513_Ti,20180501,2
1004 8_20180403_20180513_To,20180510,2
1004H3_20180301_20180402_Pe,20180330,2
1004H3_20180301_20180402_Ma,20180402,2
1004H3_20180301_20180402_Su,20180330,1
