route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
1001,HSL,1,Eira - Töölö - Sörnäinen (M) - Käpylä,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1001H,HSL,1H,Käpylä - Hattulantie,,0,http://aikataulut.hsl.fi/linjat/fi/h1_1a.html
1002,HSL,2,Olympiaterminaali - Töölö - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002B,HSL,2B,Töölö halli - Pasilan asema,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1002H,HSL,2H,Länsi-Pasila - Töölön halli,,0,http://aikataulut.hsl.fi/linjat/fi/h2.html
1003,HSL,3,Olympiaterminaali - Eira - Kallio - Meilahti,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1003H,HSL,3H,Olympiaterminaali - Eira - Urheilutalo,,0,http://aikataulut.hsl.fi/linjat/fi/h3.html
1004,HSL,4,Katajanokka - Lasipalatsi - Meilahti - Munkkiniemi,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1004H,HSL,4H,Munkkiniemi - Meilahti - Töölön halli,,0,http://aikataulut.hsl.fi/linjat/fi/h4.html
1005,HSL,5,Katajanokan terminaali - Rautatieasema,,0,http://aikataulut.hsl.fi/linjat/fi/h5.html
1006,HSL,6,Hietalahti - Rautatieasema - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006H,HSL,6H,Arabia - Vallila,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1006T,HSL,6T,Länsiterminaali - Rautatieasema - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h6_6t.html
1007,HSL,7,Länsiterminaali - Kruununhaka - Sörnäinen (M) - Länsi-Pasila,,0,http://aikataulut.hsl.fi/linjat/fi/h7.html
1007H,HSL,7H,Länsi-Pasila - Hattulantie,,0,http://aikataulut.hsl.fi/linjat/fi/h7H.html
1008,HSL,8,Jätkäsaari - Töölö - Sörnäinen (M) - Arabia,,0,http://aikataulut.hsl.fi/linjat/fi/h8.html
1008H,HSL,8H,Arabia - Vallila,,0,http://aikataulut.hsl.fi/linjat/fi/h8H.html
1008X,HSL,8X,Jätkäsaari - Ooppera,,701,http://aikataulut.hsl.fi/linjat/fi/b8X.html
1009,HSL,9,Jätkäsaari - Rautatieasema - Kallio - Pasilan asema,,0,http://aikataulut.hsl.fi/linjat/fi/h9.html
1009H,HSL,9H,Jätkäsaari - Rautatieasema - Kallio,,0,http://aikataulut.hsl.fi/linjat/fi/h9H.html
1010,HSL,10,Kirurgi - Lasipalatsi - Ruskeasuo - Pikku Huopalahti,,0,http://aikataulut.hsl.fi/linjat/fi/h10.html
1010H,HSL,10H,Pikku Huopalahti - Ruskeasuo - Töölön halli,,0,http://aikataulut.hsl.fi/linjat/fi/h10H.html
1014,HSL,14,Hernesaari-Kamppi-Pajamäki,,701,http://aikataulut.hsl.fi/linjat/fi/b14.html
1015,HSL,15,Ruoholahti-Salmisaari,,701,http://aikataulut.hsl.fi/linjat/fi/b15.html
1016,HSL,16,Rautatientori-Korkeasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b16.html
1017,HSL,17,Hakaniemi - Salmisaari,,701,http://aikataulut.hsl.fi/linjat/fi/b17.html
1018,HSL,18,Eira-Kamppi-Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/b18.html
1018N,HSL,18N,Hernesaari-Kamppi- Munkkivuori,,701,http://aikataulut.hsl.fi/linjat/fi/h18n.html
1018V,HSL,18V,Eira-Kamppi-Meilahden klinikat,,701,http://aikataulut.hsl.fi/linjat/fi/b18V.html
1019,HSL,19,Kauppatori-Suomenlinna,,4,http://aikataulut.hsl.fi/linjat/fi/hLautta_Kauppatori.html
1019E,HSL,19E,Katajanokka-Suomenlinna,,4,http://aikataulut.hsl.fi/linjat/fi/hLautta_Katajanokka.html
1020,HSL,20,Ruoholahti-Lauttasaari (M)-Katajaharju,,701,http://aikataulut.hsl.fi/linjat/fi/h20.html
1020N,HSL,20N,Asema-aukio-Lauttasaari,,701,http://aikataulut.hsl.fi/linjat/fi/h20n.html
1021,HSL,21,Erottaja-Vattuniemi,,701,http://aikataulut.hsl.fi/linjat/fi/21bx.html
1021B,HSL,21B,Lauttasaari (M)-Vattuniemi,,701,http://aikataulut.hsl.fi/linjat/fi/21bx.html
1023,HSL,23,Rautatientori-Pasila-Ruskeasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b23.html
1023N,HSL,23N,Länsiterminaali-Kamppi-Kallio-Pasila-Ilmala,,701,http://aikataulut.hsl.fi/linjat/fi/h23n.html
1024,HSL,24,Merikatu-Seurasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b24.html
1024S,HSL,24S,Erottaja-Seurasaari,,701,http://aikataulut.hsl.fi/linjat/fi/b24S.html
1026,HSL,26,Hakaniemi-Kalasatama,,704,http://aikataulut.hsl.fi/linjat/fi/b26.html
1030,HSL,30,Areena-Töölön tulli,,701,https://www.hsl.fi/sites/default/files/uploads/h30_0.pdf
1031,HSL,31,Pohjois-Haaga-Munkkivuori,,704,http://aikataulut.hsl.fi/linjat/fi/b31.html
1032,HSL,32,Pohjois-Haaga-Munkkivuori,,704,http://aikataulut.hsl.fi/linjat/fi/b32.html
1033,HSL,33,Munkkivuori-Tarvo,,704,http://aikataulut.hsl.fi/linjat/fi/b33.html
1034,HSL,34,Munkkivuori-Kaskisaari,,704,http://aikataulut.hsl.fi/linjat/fi/b34.html
1035,HSL,35,Niemenmäki-Munkkivuori-Rakuunantie,,704,http://aikataulut.hsl.fi/linjat/fi/b35.html
1036,HSL,36,Konala-Kannelmäki-Maununneva-Pirkkola,,704,http://aikataulut.hsl.fi/linjat/fi/b36.html
1037,HSL,37,Kamppi - Honkasuo,,701,http://aikataulut.hsl.fi/linjat/fi/b37.html
1039,HSL,39,Kamppi-Munkkiniemi-Konala-Malminkartano-Myyrmäki,,701,http://aikataulut.hsl.fi/linjat/fi/s39_39b.html
