stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type
1010102,2007,"Ritarihuone","Mariankatu",60.169460,24.956670,01,http://aikataulut.hsl.fi/pysakit/fi/1010102.html,0, ,2,,3
1010103,2008,"Kirkkokatu","Mariankatu 13",60.171270,24.956570,01,http://aikataulut.hsl.fi/pysakit/fi/1010103.html,0, ,2,,3
1010104,2009,"Kirkkokatu","Mariankatu 12",60.171281,24.956606,01,http://aikataulut.hsl.fi/pysakit/fi/1010104.html,0, ,2,,3
1010105,2010,"Vironkatu","Mariankatu 17",60.172580,24.956554,01,http://aikataulut.hsl.fi/pysakit/fi/1010105.html,0, ,2,,3
1010106,2011,"Vironkatu","Mariankatu 20",60.172990,24.956380,01,http://aikataulut.hsl.fi/pysakit/fi/1010106.html,0, ,2,,3
1010107,2014,"Meritullinkatu","Liisankatu 8",60.174180,24.956880,01,http://aikataulut.hsl.fi/pysakit/fi/1010107.html,0, ,2,,3
1010108,2013,"Meritullinkatu","Liisankatu 11",60.174297,24.956514,01,http://aikataulut.hsl.fi/pysakit/fi/1010108.html,0, ,2,,3
1010109,2016,"Liisanpuistikko","Liisankatu",60.174280,24.960710,01,http://aikataulut.hsl.fi/pysakit/fi/1010109.html,0, ,2,,3
1010110,2015,"Liisanpuistikko","Liisankatu 1",60.174330,24.960230,01,http://aikataulut.hsl.fi/pysakit/fi/1010110.html,0, ,2,,3
1010124,0454,"Snellmaninkatu","Liisankatu 20",60.174010,24.952360,01,http://aikataulut.hsl.fi/pysakit/fi/1010124.html,0, ,1,,3
1010125,0455,"Snellmaninkatu","Liisankatu 25",60.174070,24.952080,01,http://aikataulut.hsl.fi/pysakit/fi/1010125.html,0, ,1,,3
1010128,2012,"Liisankatu","Mariankatu 23",60.173970,24.956200,01,http://aikataulut.hsl.fi/pysakit/fi/1010128.html,0, ,2,,3
1010180,2005,"Kauppatori","Pohjoisesplanadi",60.168000,24.954030,01,http://aikataulut.hsl.fi/pysakit/fi/1010180.html,0, ,2,,3
1010419,0450,"Hallituskatu","Snellmaninkatu 4",60.170140,24.953501,01,http://aikataulut.hsl.fi/pysakit/fi/1010419.html,0, ,1,,0
1010420,0451,"Hallituskatu","Snellmaninkatu 3",60.170360,24.953530,01,http://aikataulut.hsl.fi/pysakit/fi/1010420.html,0, ,2,,0
1010421,0453,"Kansallisarkisto","Snellmaninkatu 13",60.172160,24.953350,01,http://aikataulut.hsl.fi/pysakit/fi/1010421.html,0, ,1,,0
1010422,0452,"Kansallisarkisto","Snellmaninkatu 8",60.171830,24.953260,01,http://aikataulut.hsl.fi/pysakit/fi/1010422.html,0, ,1,,0
1010424,0408,"Ritarihuone","Aleksanterinkatu",60.169150,24.956110,01,http://aikataulut.hsl.fi/pysakit/fi/1010424.html,0, ,1,,0
1010425,0407,"Ritarihuone","Aleksanterinkatu 10",60.169120,24.955560,01,http://aikataulut.hsl.fi/pysakit/fi/1010425.html,0, ,1,,0
1010427,0455,"Snellmaninkatu","Liisankatu 25",60.174070,24.952080,01,http://aikataulut.hsl.fi/pysakit/fi/1010427.html,0, ,2,,0
1010428,0454,"Snellmaninkatu","Liisankatu 20",60.174010,24.952360,01,http://aikataulut.hsl.fi/pysakit/fi/1010428.html,0, ,2,,0
1020100,2019,"Rautatientori","Läntinen Teatterikuj",60.172063,24.943339,01,http://aikataulut.hsl.fi/pysakit/fi/1020100.html,0, ,0,13,3
1020104,2057,"Rautatientori","Kaivokatu 4",60.170340,24.943820,01,http://aikataulut.hsl.fi/pysakit/fi/1020104.html,0, ,2,16,3
1020105,2061,"Kaisaniemenpuisto","Unioninkatu 43",60.175020,24.950490,01,http://aikataulut.hsl.fi/pysakit/fi/1020105.html,0, ,2,,3
1020106,2060,"Kaisaniemenpuisto","Kaisaniemenkatu",60.173480,24.949140,01,http://aikataulut.hsl.fi/pysakit/fi/1020106.html,0, ,2,,3
1020112,2040,"Rautatientori","Rautatientori",60.170760,24.942680,01,http://aikataulut.hsl.fi/pysakit/fi/1020112.html,0,1000003,2,17,3
1020113,2041,"Rautatientori","Rautatientori",60.170720,24.943240,01,http://aikataulut.hsl.fi/pysakit/fi/1020113.html,0,1000003,0,1,3
1020115,2043,"Rautatientori","Rautatientori",60.171410,24.942660,01,http://aikataulut.hsl.fi/pysakit/fi/1020115.html,0,1000003,0,3,3
