trans_id,lang,translation
"Veräjänkorva",fi,"Veräjänkorva"
"Päivänsalontie",fi,"Päivänsalontie"
"Vallirinne",fi,"Vallirinne"
"Munkkivuoresta Rakuunantielle",fi,"Munkkivuoresta Rakuunantielle"
"Yliskylä",fi,"Yliskylä"
"Pasilanraitio",sv,"Böletået"
"Drusibackantie",fi,"Drusibackantie"
"Kointähdentie",fi,"Kointähdentie"
"Keravan terv.keskus",fi,"Keravan terv.keskus"
"G. Pauligin katu",sv,"G. Pauligs gata"
"Verkkosaarenkuja",sv,"Nätholmsgränden"
"Kirstinsyrjä",sv,"Kirstibrinken"
"Traverssikuja",sv,"Traversgränden"
"Aurinkotuulenkatu 11",sv,"Solvindsgatan 11"
"Thurmannin P:tie 6",sv,"Thurmansallen 6"
"Uurtajantie",fi,"Uurtajantie"
"Myrskyläntie",sv,"Mörskomvägen"
"Pohj. Makasiinikatu",fi,"Pohj. Makasiinikatu"
"Rantakukankuja",fi,"Rantakukankuja"
"Viikinm. puhdistamo",sv,"Viksb. reningsverk"
"Karamäki",sv,"Karabacken"
"Ratsastuskoulu",sv,"Ratsastuskoulu"
"Massbyntie",fi,"Massbyntie"
"Paciuksenkaari",fi,"Paciuksenkaari"
"Hyttimestari",fi,"Hyttimestari"
"Nummelantie",fi,"Nummelantie"
"Malmi-Otaniemi",sv,"Malm-Otnäs"
"Rautat-Päiväkumpu",fi,"Rautat-Päiväkumpu"
"Tienhaara",fi,"Tienhaara"
"Siikaniemi",sv,"Siknäs"
"Ruusumäentie",sv,"Rosbackavägen"
"Sepelbergen",sv,"Sepelbergen"
"Eliel-Kalajärvi",fi,"Eliel-Kalajärvi"
"Eliel-Lentosema",fi,"Eliel-Lentosema"
"Laajasalontie",sv,"Degerövägen"
"Munkkin. uimaranta",fi,"Munkkin. uimaranta"
"Nuottaniemi",sv,"Notudden"
"Kraatz",sv,"Kraatz"
"Lapinmäentie",fi,"Lapinmäentie"
"Hiidenkiukaantie 6",fi,"Hiidenkiukaantie 6"
"Lasilaakso 3",sv,"Glasdalen 3"
"Tapiola (M) - Suurpelto /- Espoon keskus - Kauklahti",sv,"Hagalund (M) - Storåkern /- Esbo centrum - Köklax"
"Luoma - Masala - Jorvaksentie - Hirsala",fi,"Luoma - Masala - Jorvaksentie - Hirsala"
"Malminkaari",fi,"Malminkaari"
"Kampintori",sv,"Kamptorget"
"Pengerpolku",sv,"Terrasstigen"
"Majavatie 14",sv,"Bävervägen 14"
"Laukkoskenniitty",sv,"Lövkoskängen"
"Kimmeltie",sv,"Glimmervägen"
"Akselinpolku",sv,"Axelsstigen"
"Jönsaksentie 6",fi,"Jönsaksentie 6"
"Hitsaajankatu 14",sv,"Svetsargatan 14"
"Kauppatori - Suomenlinna",fi,"Kauppatori - Suomenlinna"
"Säteritilankatu",fi,"Säteritilankatu"
"Mäenrinne",sv,"Backliden"
"Nikkilä - Etelä-Paippinen - Järvenpään asema",sv,"Nickby - Södra Paipis - Träskända station"
"Damsinrinne",sv,"Damsbranten"
"Patterikuja",fi,"Patterikuja"
"Leppävaara - Karakallio - Viherlaakso - Jorvi",sv,"Alberga - Karabacka - Gröndal - Jorv"
"Rautatientori-Vallinoja-Kerava",fi,"Rautatientori-Vallinoja-Kerava"
"Matinkylä - Suurpelto - Kera - Leppävaara",fi,"Matinkylä - Suurpelto - Kera - Leppävaara"
"Mankki",fi,"Mankki"
"Leiritie",sv,"Lägervägen"
"Vuorimiehentie",sv,"Bergsmansvgen"
"Hakaniemi-Malmink",fi,"Hakaniemi-Malmink"
"Merivirta",fi,"Merivirta"
"Tiensivu",fi,"Tiensivu"
"Energiakatu",sv,"Energigatan"
"Högbacka",sv,"Högbacka"
"Leppävaara - Mäkkylä - Pitäjänmäki - Pajamäki",sv,"Alberga - Mäkkylä - Sockenbacka - Smedjebacka"
"Kirkkonummi, lait 9",sv,"Kyrkslätt, pf. 9"
"Palttinatie",fi,"Palttinatie"
"Kuninkaantammenaukio",sv,"Kungseksplatsen"
"Kotinummentie 3",fi,"Kotinummentie 3"
"Hniemi(M)-Tammisalo",fi,"Hniemi(M)-Tammisalo"
"Aalto-yliopiston metroasema",fi,"Aalto-yliopiston metroasema"
"Itäinen Jokipuisto - Nikkilä - Linnanpelto-Laukkoskenniitty",fi,"Itäinen Jokipuisto - Nikkilä - Linnanpelto-Laukkoskenniitty"
"Ohrakuja",fi,"Ohrakuja"
"Paratiisikuja",fi,"Paratiisikuja"
"Paroninkuja",sv,"Barongränden"
"Ruskeasuon koulu",fi,"Ruskeasuon koulu"
"Saunalahden koulu",fi,"Saunalahden koulu"
"Vidarinkuja",fi,"Vidarinkuja"
"Syväjärvi",fi,"Syväjärvi"
"Virmajuurentie",sv,"Vendelörtsvägen"
"Kaskiniitynkuja",sv,"Svedjeängsgränden"
"Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä",fi,"Eriksnäs-Söderkulla-Massby-Hindsby-Nikkilä"
"Rautatientori - Honkanummi - Havukoski",fi,"Rautatientori - Honkanummi - Havukoski"
"Perämiehenkatu 5",fi,"Perämiehenkatu 5"
"Kanavakatu",fi,"Kanavakatu"
"Elielinaukio, l.26",sv,"Elielplatsen, pf.26"
"Vallikallionkuja",sv,"Vallbergsgränden"
"Hakunilan koulu",sv,"Hakunilan koulu"
"Ratapihantie 13",fi,"Ratapihantie 13"
"Martinl-Myyrm",sv,"Mårtensd-Myrb"
"Kivijatapolku",fi,"Kivijatapolku"
"Kiviruukki",fi,"Kiviruukki"
"Haapaniemi",sv,"Aspnäs"
"Töölön sairaala",sv,"Tölö sjukhus"
"Hernetie",sv,"Ärtvägen"
"Sillankulma",sv,"Brohörnet"
"Herttoniemi (M) - Roihuvuori - Itäkeskus (M)",sv,"Hertonäs (M) - Kasberget - Östra centrum (M)"
"Rautatientori-Kuninkaanmäki-Nikkilä-Pornainen",sv,"Järnvägstorget-Kungsbacka-Nickby-Borgnäs"
"Vallila-Hietalahti",sv,"Vallgård-Sandviken"
"Mattaksenkuja",fi,"Mattaksenkuja"
"Vanhankylän kartano",fi,"Vanhankylän kartano"
"Haapanatie",sv,"Bläsandsvägen"
"Gransinmäki",sv,"Gransbacken"
"Sturenkatu 38",fi,"Sturenkatu 38"
"Mellunmäki(M), lait. 14",fi,"Mellunmäki(M), lait. 14"
"Eteläranta  - Viiskulma",fi,"Eteläranta  - Viiskulma"
"Kauklahti - Masala - Kirkkonummi",fi,"Kauklahti - Masala - Kirkkonummi"
"Pasila",fi,"Pasila"
"Koivu-Mankkaan tie",fi,"Koivu-Mankkaan tie"
"Kamppi- Latokaski",fi,"Kamppi- Latokaski"
"Rautatientori - Nikkilä - Paippinen - Järvenpää",fi,"Rautatientori - Nikkilä - Paippinen - Järvenpää"
"Maamonlahdentie",fi,"Maamonlahdentie"
"Ruukinranta",sv,"Brukstranden"
"Lehmuslehdontie",sv,"Lehmuslehdontie"
"Karaniityntie",fi,"Karaniityntie"
